network: shm4220
algorithm: merge
keyword arguments:{'boxing': True, 'measure_time': False}
execution time: 6.036061763763428
box size	Nbs
105	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
106	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
107	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
108	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
109	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
110	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
111	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
112	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
113	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
114	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
115	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
116	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
117	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
118	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
119	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
120	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
121	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
122	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
123	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
124	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
125	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
126	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
127	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
128	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
129	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
130	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
131	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
132	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
133	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
134	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
135	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
136	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
137	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
138	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
139	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
140	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
141	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
142	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
143	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
144	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
145	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
146	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
147	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
148	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
149	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
150	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
151	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
152	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
153	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
154	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
155	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
156	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
157	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
158	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
159	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
160	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
161	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
162	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
